Phrase Table: 5,575 unique phrase pairs from 1000 sentence pairs (max phrase length = 5)
Costs are in bits: -log2(probability). Lower = more probable.

Source (Spanish)                         Target (English)                            cost(f|e)    cost(e|f)   count
transportes                              transport                                      1.8074      -0.0000      10
1999                                     1999                                          -0.0000      -0.0000      10
transparencia                            transparency                                  -0.0000       0.1375      10
son                                      are                                            2.0356       0.4854      10
fondos estructurales                     structural funds                               0.3785       0.1375      10
libro blanco                             white paper                                    0.1375      -0.0000      10
las ayudas estatales                     state aid                                      1.0704      -0.0000      10
todas                                    all                                            2.1520       0.1520       9
sus                                      their                                          1.2895       1.5305       9
creo                                     i believe                                      0.2895       1.0780       9
lo                                       what                                           0.9175       2.2563       9
posición                                 position                                      -0.0000       0.1520       9
este parlamento                          this parliament                               -0.0000      -0.0000       9
1998                                     1998                                           0.1520      -0.0000       9
la                                       s                                             -0.0000       3.1155       9
consejo                                  council                                        0.2895      -0.0000       9
votación                                 vote                                           0.6374      -0.0000       9
de                                       '                                              0.2895       3.9281       9
común                                    common                                        -0.0000       0.2895       9
un                                       one                                            1.6881       3.6374       9
cuatro                                   four                                          -0.0000      -0.0000       9
otros                                    other                                          0.8301       0.2895       9
ya                                       already                                       -0.0000       0.6374       9
necesario                                necessary                                      0.6374       0.5305       9
investigación                            research                                      -0.0000      -0.0000       9
económicos                               economic                                       1.8745      -0.0000       9
sexto                                    sixth                                         -0.0000      -0.0000       9
señora presidenta ,                      madam president ,                             -0.0000      -0.0000       8
usted                                    you                                            1.3923      -0.0000       8
su                                       your                                           0.7004       2.7549       8
siempre                                  always                                        -0.0000      -0.0000       8
nuestros                                 our                                            2.4919       0.1699       8
servicios                                services                                      -0.0000      -0.0000       8
sido                                     been                                           1.7549       0.3219       8
partido                                  party                                         -0.0000      -0.0000       8
cinco                                    five                                          -0.0000      -0.0000       8
reforma                                  reform                                         0.1699      -0.0000       8
contra                                   against                                        0.3219       0.1699       8
algunos                                  some                                           0.5850       0.3219       8
carretera                                road                                           0.3219      -0.0000       8
;                                        ;                                              0.1699       0.1699       8
oportunidades                            opportunities                                 -0.0000      -0.0000       8
donde                                    where                                          0.5850      -0.0000       8
proceso                                  process                                       -0.0000      -0.0000       8
se                                       is                                             3.8455       3.5699       8
procedimiento                            procedure                                     -0.0000       0.1699       8
se                                       are                                            2.3576       3.5699       8
coordinación                             coordination                                  -0.0000      -0.0000       8
aplicación                               application                                   -0.0000       0.7004       8
sostenible                               sustainable                                   -0.0000      -0.0000       8
tratado                                  treaty                                         0.3219      -0.0000       8
código                                   code                                          -0.0000      -0.0000       8
(                                        (                                             -0.0000      -0.0000       7
)                                        )                                             -0.0000      -0.0000       7
meses                                    months                                        -0.0000      -0.0000       7
por                                      for                                            3.0506       3.5502       7
schroedter                               schroedter                                    -0.0000      -0.0000       7
nuevo                                    new                                            1.6521       0.3626       7
está                                     is                                             4.0381       0.5146       7
conferencia                              conference                                    -0.0000      -0.0000       7
sus                                      its                                            1.7776       1.8931       7
mi grupo                                 my group                                      -0.0000      -0.0000       7
decir                                    say                                           -0.0000       0.5146       7
del                                      from                                           0.6521       1.6521       7
capital                                  capital                                        0.1926      -0.0000       7
mañana                                   tomorrow                                      -0.0000      -0.0000       7
consejeros                               advisers                                      -0.0000       0.3626       7
flexibilidad                             flexibility                                   -0.0000      -0.0000       7
sistema                                  system                                        -0.0000      -0.0000       7
informe .                                report .                                      -0.0000       0.1926       7
quisiera                                 i would like                                   1.6521       0.8931       7
apoyo                                    support                                        1.0000       0.1926       7
, pero                                   , but                                          0.6521      -0.0000       7
koch                                     koch                                          -0.0000       0.3626       7
puede                                    can                                            0.6521       0.5146       7
estados                                  states                                         1.7776       0.1926       7
al                                       to                                             3.9871       2.3219       7
normas                                   rules                                          1.0000       0.7776       7
2000-2006                                2000-2006                                     -0.0000      -0.0000       7
los fondos                               funds                                          1.8365      -0.0000       7
sociedad                                 society                                       -0.0000      -0.0000       7
las directrices                          guidelines                                     1.0000       0.6521       7
proyectos                                projects                                       0.3626      -0.0000       7
las autoridades                          authorities                                    0.3626      -0.0000       7
ampliación                               enlargement                                   -0.0000      -0.0000       7
estructural                              structural                                     2.4406      -0.0000       7
ayudas estatales                         state aid                                      1.5850       0.1926       7
su                                       you                                            1.8074       3.1699       6
todo                                     all                                            2.7370       1.5025       6
gracias                                  thank you                                     -0.0000       0.7370       6
aquí                                     here                                           0.4150      -0.0000       6
también                                  too                                            1.0000       3.7370       6
información                              information                                   -0.0000      -0.0000       6
en                                       into                                           0.5850       4.9619       6
si                                       whether                                       -0.0000       2.6245       6
los                                      they                                           1.4150       2.9696       6
,                                        it                                             1.9386       4.7097       6
semana                                   week                                          -0.0000      -0.0000       6
decisión                                 decision                                       0.2224       0.4150       6
hecho                                    fact                                           0.4150       1.2224       6
anterior                                 previous                                       0.2224      -0.0000       6
la comisión                              the commission                                -0.0000       0.2224       6
decisiones                               decisions                                      0.2224       0.4150       6
presidente ,                             president ,                                    0.2224      -0.0000       6
estratégico                              strategic                                      0.7370      -0.0000       6
posición común                           common position                               -0.0000      -0.0000       6
especial                                 particular                                     0.8745       1.2224       6
tres                                     three                                         -0.0000      -0.0000       6
derecho                                  law                                            0.5850       0.2224       6
su                                       his                                            0.7370       3.1699       6
especialmente                            especially                                     0.7370       0.5850       6
por                                      therefore                                      1.3219       3.7726       6
informes                                 reports                                       -0.0000      -0.0000       6
parte                                    part                                          -0.0000       0.2224       6
último                                   finally                                        1.1155       0.5850       6
primer lugar                             firstly                                        0.2224       0.5850       6
demasiado                                too                                            1.0000       0.4150       6
segundo                                  second                                         0.5850       0.5850       6
uno                                      one                                            2.2730      -0.0000       6
estados miembros                         member states                                  1.8074       0.2224       6
cuenta                                   account                                        0.4150       1.0000       6
sino también                             but also                                       0.4150      -0.0000       6
fondo                                    fund                                          -0.0000       0.2224       6
cos                                      cos                                           -0.0000      -0.0000       6
muchas                                   many                                           0.8745       0.5850       6
puntos                                   points                                         0.2224       0.4150       6
nuevas                                   new                                            1.8745      -0.0000       6
industria                                industry                                       0.2224       0.5850       6
gustaría                                 would like                                     0.8745       0.5850       6
criterios                                criteria                                       0.2224      -0.0000       6
proyecto                                 project                                       -0.0000       0.2224       6
clave                                    key                                           -0.0000      -0.0000       6
crecimiento                              growth                                         0.4150      -0.0000       6
,                                        we                                             2.8745       4.7097       6
especial                                 particularly                                   1.5850       1.2224       6
los países                               countries                                      1.8074      -0.0000       6
política estructural                     structural policy                             -0.0000      -0.0000       6
medidas                                  measures                                       0.5850       0.2224       6
periódico                                periodic                                      -0.0000      -0.0000       6
incluso                                  even                                           0.7370      -0.0000       6
general                                  general                                        0.5850      -0.0000       6
von                                      von                                            0.2224       0.2224       6
modernización                            modernisation                                  0.5850       0.4150       6
iniciativa                               initiative                                    -0.0000      -0.0000       5
pregunta                                 question                                       0.6781      -0.0000       5
debe                                     should                                         1.2630       2.2016       5
primer                                   first                                          2.0000      -0.0000       5
toda                                     whole                                          0.4854       0.6781       5
de                                       in                                             4.7442       4.7761       5
los                                      the                                            4.5729       3.2327       5
lo                                       do                                             1.0000       3.1043       5
base                                     basis                                         -0.0000      -0.0000       5
qué                                      why                                            1.5850       0.6781       5
desde                                    since                                          1.1375       0.6781       5
preguntas                                questions                                      0.2630      -0.0000       5
no es                                    is not                                         0.4854       0.2630       5
mayoría                                  majority                                      -0.0000       0.8480       5
riesgo                                   risk                                          -0.0000      -0.0000       5
futuro .                                 future .                                      -0.0000      -0.0000       5
cualquier                                any                                            0.8480      -0.0000       5
nosotros                                 us                                             1.6781       0.6781       5
se                                       being                                          0.2630       4.2479       5
ese                                      this                                           4.8972       0.6781       5
antes                                    before                                         0.2630       0.6781       5
opinión                                  opinion                                       -0.0000       0.2630       5
voto                                     vote                                           1.4854      -0.0000       5
sobre                                    regarding                                      0.2630       2.8875       5
para                                     to                                             4.4725       3.7004       5
era                                      was                                            1.7655      -0.0000       5
acta                                     minutes                                        0.4854      -0.0000       5
ferrocarril                              rail                                          -0.0000      -0.0000       5
para                                     order                                         -0.0000       3.7004       5
creo                                     believe                                        0.4854       1.9260       5
europa .                                 europe .                                      -0.0000      -0.0000       5
muchos                                   many                                           1.1375      -0.0000       5
excelente                                excellent                                      0.2630      -0.0000       5
ciudadanos                               citizens                                       0.8480       0.8480       5
público                                  public                                         1.1375      -0.0000       5
apoyar                                   support                                        1.4854      -0.0000       5
observaciones                            comments                                       0.4854       0.2630       5
las                                      are                                            3.0356       2.8480       5
las empresas                             companies                                      0.6781       0.2630       5
los                                      are                                            3.0356       3.2327       5
gran                                     great                                          0.8480       0.4854       5
por último                               finally                                        1.3785      -0.0000       5
modificación                             amendment                                      2.0000       0.6781       5
subsidiariedad                           subsidiarity                                  -0.0000      -0.0000       5
se                                       were                                           0.6781       4.2479       5
cambios                                  changes                                       -0.0000      -0.0000       5
condiciones                              conditions                                     0.2630       0.2630       5
interior                                 internal                                       0.4854      -0.0000       5
mercado interior                         internal market                                0.8480      -0.0000       5
no sólo                                  not only                                      -0.0000       0.2630       5
en                                       have                                           2.4854       5.2250       5
claridad                                 clear                                          1.1375       0.8480       5
comunicación                             communication                                 -0.0000      -0.0000       5
gobierno                                 government                                    -0.0000      -0.0000       5
cuestiones                               issues                                         0.4854       0.4854       5
dentro                                   within                                         0.8480       0.2630       5
conclusiones                             conclusions                                    0.4854      -0.0000       5
efectos                                  effects                                        0.2630      -0.0000       5
2                                        2                                             -0.0000      -0.0000       5
grave                                    serious                                       -0.0000      -0.0000       5
acción                                   action                                         0.4854      -0.0000       5
planes                                   plans                                         -0.0000       0.4854       5
rurales                                  rural                                          0.8480      -0.0000       5
creación                                 creation                                       0.4854      -0.0000       5
sectores                                 sectors                                       -0.0000      -0.0000       5
oportunidad                              opportunity                                    0.4854       0.2630       5
ha                                       was                                            1.7655       3.7655       5
funcionamiento                           operation                                     -0.0000       0.2630       5
programas                                programmes                                     0.2630      -0.0000       5
señor presidente ,                       mr president ,                                 0.2630      -0.0000       5
particular                               particular                                     1.1375       0.6781       5
equilibrio                               balance                                       -0.0000      -0.0000       5
competitividad                           competitiveness                               -0.0000      -0.0000       5
nueva                                    new                                            2.1375      -0.0000       5
desempleo                                unemployment                                   0.8480      -0.0000       5
desarrollo sostenible                    sustainable development                       -0.0000      -0.0000       5
comisión europea                         european commission                           -0.0000      -0.0000       5
sus                                      your                                           1.3785       2.3785       5
informe periódico                        periodic report                               -0.0000      -0.0000       5
se ha                                    has been                                       1.2630       0.2630       5
en este                                  in this                                        0.2630       0.2630       5
ayuda                                    aid                                            3.0000       0.2630       5
nivel                                    level                                          0.2630       0.2630       5
monetarios                               monetary                                       0.2630      -0.0000       5
jonckheer                                jonckheer                                     -0.0000      -0.0000       5
ciudadanos                               people                                         1.4594       1.1699       4
varios                                   number                                         1.0000       0.3219       4
hace                                     ago                                           -0.0000       0.5850       4
las                                      the                                            4.8948       3.1699       4
sí                                       yes                                           -0.0000       0.8074       4
fundamental                              fundamental                                    0.5850      -0.0000       4
comunidad                                community                                      1.7004      -0.0000       4
embargo                                  but                                            4.2668       0.3219       4
aún                                      still                                          0.8074       1.1699       4
hecho                                    done                                           0.5850       1.8074       4
presentado                               tabled                                         0.3219       0.8074       4
